0.001365,0.001396,0.001528,0.001605,0.001846,0.002363,0.003283,0.004183,0.005519,0.007947,0.012561,0.019618,0.029953,0.040223,0.048627,0.117550
0.001460,0.001795,0.001944,0.001847,0.001937,0.002448,0.003443,0.004476,0.006018,0.009057,0.014767,0.025064,0.038887,0.050114,0.060006,0.078197
0.001721,0.002068,0.002106,0.001878,0.001985,0.002439,0.003452,0.005024,0.006740,0.010440,0.018225,0.030814,0.050019,0.065692,0.079466,0.103263
0.003248,0.002897,0.002077,0.001780,0.001886,0.002459,0.003619,0.004970,0.007185,0.011202,0.019020,0.033852,0.051021,0.061994,0.074638,0.113590
0.005369,0.002594,0.002424,0.001863,0.001951,0.002443,0.003527,0.004961,0.007504,0.011935,0.020059,0.034271,0.051491,0.079768,0.119180,0.115076
0.006472,0.002752,0.002210,0.002098,0.002229,0.002777,0.003457,0.004683,0.007163,0.012136,0.020292,0.033807,0.053504,0.102662,0.150961,0.291973
0.007085,0.003455,0.002194,0.001988,0.002186,0.002677,0.003400,0.004352,0.006587,0.012056,0.019927,0.032733,0.052970,0.104726,0.218124,0.337544
0.004384,0.002322,0.002116,0.001732,0.001825,0.002375,0.003386,0.004613,0.006941,0.011336,0.018942,0.031035,0.049231,0.072614,0.116927,0.108985
0.001561,0.001789,0.001828,0.001602,0.001739,0.002244,0.003470,0.004580,0.006668,0.010386,0.017508,0.030165,0.045560,0.059474,0.072003,0.116281
0.001358,0.001705,0.001774,0.001579,0.001742,0.002174,0.003079,0.004253,0.005956,0.009314,0.015860,0.027417,0.042463,0.059345,0.076128,0.096354
0.001155,0.001397,0.001569,0.001506,0.001612,0.002131,0.002883,0.003976,0.005261,0.008093,0.013166,0.021995,0.033944,0.047053,0.055961,0.070895
0.000900,0.001041,0.001204,0.001300,0.001607,0.001904,0.002620,0.003357,0.004609,0.006732,0.010782,0.016793,0.025475,0.035260,0.042505,0.111446
