gross_unadjusted,team_name,season,cpi_index,deflator,gross_2025_26_terms
88200000,Everton,2019-2020,108.46,1.293656647612023,114100516
75500000,West Ham,2019-2020,108.46,1.293656647612023,97671077
70500000,Crystal Palace,2019-2020,108.46,1.293656647612023,91202794
66400000,Leicester,2019-2020,108.46,1.293656647612023,85898801
63500000,Newcastle,2019-2020,108.46,1.293656647612023,82147197
52500000,Watford,2019-2020,108.46,1.293656647612023,67916974
49700000,Southampton,2019-2020,108.46,1.293656647612023,64294735
46700000,Aston Villa,2019-2020,108.46,1.293656647612023,60413765
43500000,Wolverhampton,2019-2020,108.46,1.293656647612023,56274064
41200000,Brighton,2019-2020,108.46,1.293656647612023,53298654
45200000,Bournemouth,2019-2020,108.46,1.293656647612023,58473280
41000000,Burnley,2019-2020,108.46,1.293656647612023,53039923
21600000,Norwich,2019-2020,108.46,1.293656647612023,27942984
21400000,Sheffield United,2019-2020,108.46,1.293656647612023,27684252
176000000,Manchester United,2020-2021,109.33,1.2833622976310253,225871764
152400000,Chelsea,2020-2021,109.33,1.2833622976310253,195584414
115000000,Arsenal,2020-2021,109.33,1.2833622976310253,147586664
142600000,Manchester City,2020-2021,109.33,1.2833622976310253,183007464
130800000,Tottenham,2020-2021,109.33,1.2833622976310253,167863789
127300000,Liverpool,2020-2021,109.33,1.2833622976310253,163372020
90300000,Everton,2020-2021,109.33,1.2833622976310253,115887615
83800000,Crystal Palace,2020-2021,109.33,1.2833622976310253,107545761
72600000,Leicester,2020-2021,109.33,1.2833622976310253,93172103
62800000,West Ham,2020-2021,109.33,1.2833622976310253,80595152
58200000,Aston Villa,2020-2021,109.33,1.2833622976310253,74691686
57900000,Newcastle,2020-2021,109.33,1.2833622976310253,74306677
59400000,Southampton,2020-2021,109.33,1.2833622976310253,76231720
49100000,Fulham,2020-2021,109.33,1.2833622976310253,63013089
53500000,Wolverhampton,2020-2021,109.33,1.2833622976310253,68659883
47300000,Brighton,2020-2021,109.33,1.2833622976310253,60703037
29000000,West Bromwich,2020-2021,109.33,1.2833622976310253,37217507
32800000,Burnley,2020-2021,109.33,1.2833622976310253,42094283
31500000,Leeds,2020-2021,109.33,1.2833622976310253,40425912
18200000,Sheffield United,2020-2021,109.33,1.2833622976310253,23357194
214100000,Manchester United,2021-2022,115.63,1.2134394188359423,259797380
187600000,Chelsea,2021-2022,115.63,1.2134394188359423,227641235
166100000,Manchester City,2021-2022,115.63,1.2134394188359423,201552287
150300000,Liverpool,2021-2022,115.63,1.2134394188359423,182379945
89400000,Arsenal,2021-2022,115.63,1.2134394188359423,108481484
87400000,Tottenham,2021-2022,115.63,1.2134394188359423,106054605
106000000,Everton,2021-2022,115.63,1.2134394188359423,128624578
73100000,Aston Villa,2021-2022,115.63,1.2134394188359423,88702422
80500000,Leicester,2021-2022,115.63,1.2134394188359423,97681873
76100000,West Ham,2021-2022,115.63,1.2134394188359423,92342740
71700000,Newcastle,2021-2022,115.63,1.2134394188359423,87003606
71900000,Crystal Palace,2021-2022,115.63,1.2134394188359423,87246294
57100000,Wolverhampton,2021-2022,115.63,1.2134394188359423,69287391
58200000,Southampton,2021-2022,115.63,1.2134394188359423,70622174
43600000,Brighton,2021-2022,115.63,1.2134394188359423,52905959
39100000,Watford,2021-2022,115.63,1.2134394188359423,47445481
38200000,Burnley,2021-2022,115.63,1.2134394188359423,46353386
37300000,Leeds,2021-2022,115.63,1.2134394188359423,45261290
30500000,Norwich,2021-2022,115.63,1.2134394188359423,37009902
25700000,Brentford,2021-2022,115.63,1.2134394188359423,31185393
281400000,Manchester United,2022-2023,127.19000000000001,1.1031527635820426,310427188
260500000,Chelsea,2022-2023,127.19000000000001,1.1031527635820426,287371295
244000000,Manchester City,2022-2023,127.19000000000001,1.1031527635820426,269169274
198600000,Liverpool,2022-2023,127.19000000000001,1.1031527635820426,219086139
153400000,Arsenal,2022-2023,127.19000000000001,1.1031527635820426,169223634
133500000,Tottenham,2022-2023,127.19000000000001,1.1031527635820426,147270894
117100000,Aston Villa,2022-2023,127.19000000000001,1.1031527635820426,129179189
103200000,Newcastle,2022-2023,127.19000000000001,1.1031527635820426,113845365
101100000,West Ham,2022-2023,127.19000000000001,1.1031527635820426,111528744
100300000,Everton,2022-2023,127.19000000000001,1.1031527635820426,110646222
96900000,Leicester,2022-2023,127.19000000000001,1.1031527635820426,106895503
89800000,Nottingham Forest,2022-2023,127.19000000000001,1.1031527635820426,99063118
81300000,Crystal Palace,2022-2023,127.19000000000001,1.1031527635820426,89686320
76700000,Wolverhampton,2022-2023,127.19000000000001,1.1031527635820426,84611817
69400000,Fulham,2022-2023,127.19000000000001,1.1031527635820426,76558802
74800000,Southampton,2022-2023,127.19000000000001,1.1031527635820426,82515827
72000000,Leeds,2022-2023,127.19000000000001,1.1031527635820426,79426999
59600000,Bournemouth,2022-2023,127.19000000000001,1.1031527635820426,65747905
53300000,Brighton,2022-2023,127.19000000000001,1.1031527635820426,58798042
46700000,Brentford,2022-2023,127.19000000000001,1.1031527635820426,51517234
235900000,Manchester United,2023-2024,132.34,1.0602236663140396,250106763
257600000,Manchester City,2023-2024,132.34,1.0602236663140396,273113616
205500000,Arsenal,2023-2024,132.34,1.0602236663140396,217875963
185000000,Chelsea,2023-2024,132.34,1.0602236663140396,196141378
171900000,Liverpool,2023-2024,132.34,1.0602236663140396,182252448
154500000,Tottenham,2023-2024,132.34,1.0602236663140396,163804556
135400000,Aston Villa,2023-2024,132.34,1.0602236663140396,143554284
113900000,West Ham,2023-2024,132.34,1.0602236663140396,120759476
104300000,Newcastle,2023-2024,132.34,1.0602236663140396,110581328
96500000,Everton,2023-2024,132.34,1.0602236663140396,102311584
86300000,Nottingham Forest,2023-2024,132.34,1.0602236663140396,91497302
89300000,Crystal Palace,2023-2024,132.34,1.0602236663140396,94677973
80300000,Fulham,2023-2024,132.34,1.0602236663140396,85135960
78700000,Brighton,2023-2024,132.34,1.0602236663140396,83439603
67300000,Bournemouth,2023-2024,132.34,1.0602236663140396,71353053
71600000,Wolverhampton,2023-2024,132.34,1.0602236663140396,75912015
55600000,Brentford,2023-2024,132.34,1.0602236663140396,58948436
47600000,Burnley,2023-2024,132.34,1.0602236663140396,50466647
42200000,Sheffield United,2023-2024,132.34,1.0602236663140396,44741439
31400000,Luton Town,2023-2024,132.34,1.0602236663140396,33291023
279000000,Manchester City,2024-2025,135.87,1.0326782954294547,288117244
213200000,Manchester United,2024-2025,135.87,1.0326782954294547,220167013
205300000,Chelsea,2024-2025,135.87,1.0326782954294547,212008854
205300000,Arsenal,2024-2025,135.87,1.0326782954294547,212008854
179700000,Liverpool,2024-2025,135.87,1.0326782954294547,185572290
165200000,Aston Villa,2024-2025,135.87,1.0326782954294547,170598454
146000000,Tottenham,2024-2025,135.87,1.0326782954294547,150771031
129000000,Newcastle,2024-2025,135.87,1.0326782954294547,133215500
121600000,West Ham,2024-2025,135.87,1.0326782954294547,125573681
91900000,Crystal Palace,2024-2025,135.87,1.0326782954294547,94903135
89400000,Everton,2024-2025,135.87,1.0326782954294547,92321440
87200000,Fulham,2024-2025,135.87,1.0326782954294547,90049547
81100000,Brighton,2024-2025,135.87,1.0326782954294547,83750210
99600000,Wolverhampton,2024-2025,135.87,1.0326782954294547,102854758
81000000,Leicester,2024-2025,135.87,1.0326782954294547,83646942
74000000,Nottingham Forest,2024-2025,135.87,1.0326782954294547,76418194
62500000,Southampton,2024-2025,135.87,1.0326782954294547,64542393
66200000,Bournemouth,2024-2025,135.87,1.0326782954294547,68363303
55700000,Brentford,2024-2025,135.87,1.0326782954294547,57520181
49200000,Ipswich Town,2024-2025,135.87,1.0326782954294547,50807772
309800000,Manchester City,2025-2026,140.31,1.0,309800000
208600000,Manchester United,2025-2026,140.31,1.0,208600000
188300000,Chelsea,2025-2026,140.31,1.0,188300000
233400000,Arsenal,2025-2026,140.31,1.0,233400000
218000000,Liverpool,2025-2026,140.31,1.0,218000000
181700000,Aston Villa,2025-2026,140.31,1.0,181700000
176200000,Tottenham,2025-2026,140.31,1.0,176200000
145800000,Newcastle,2025-2026,140.31,1.0,145800000
103500000,West Ham,2025-2026,140.31,1.0,103500000
99800000,Crystal Palace,2025-2026,140.31,1.0,99800000
96100000,Everton,2025-2026,140.31,1.0,96100000
98600000,Fulham,2025-2026,140.31,1.0,98600000
86300000,Brighton,2025-2026,140.31,1.0,86300000
90200000,Wolverhampton,2025-2026,140.31,1.0,90200000
72100000,Leeds,2025-2026,140.31,1.0,72100000
109100000,Nottingham Forest,2025-2026,140.31,1.0,109100000
81000000,Sunderland,2025-2026,140.31,1.0,81000000
82300000,Bournemouth,2025-2026,140.31,1.0,82300000
72600000,Brentford,2025-2026,140.31,1.0,72600000
71500000,Burnley,2025-2026,140.31,1.0,71500000
