match_id,league_id,match_date,home_team,home_goals,away_team,away_goals,season
4813374,Premier_League,2025-08-15T19:00:00.000Z,8650,4,8678,2,2025-2026
4813375,Premier_League,2025-08-16T11:30:00.000Z,10252,0,10261,0,2025-2026
4813376,Premier_League,2025-08-16T14:00:00.000Z,10204,1,9879,1,2025-2026
4813377,Premier_League,2025-08-17T13:00:00.000Z,10203,3,9937,1,2025-2026
4813378,Premier_League,2025-08-16T14:00:00.000Z,8472,3,8654,0,2025-2026
4813379,Premier_League,2025-08-16T14:00:00.000Z,8586,3,8191,0,2025-2026
4813380,Premier_League,2025-08-16T16:30:00.000Z,8602,0,8456,4,2025-2026
4813381,Premier_League,2025-08-17T13:00:00.000Z,8455,0,9826,0,2025-2026
4813382,Premier_League,2025-08-17T15:30:00.000Z,10260,0,9825,1,2025-2026
4813383,Premier_League,2025-08-18T19:00:00.000Z,8463,1,8668,0,2025-2026
4813385,Premier_League,2025-08-23T14:00:00.000Z,8678,1,8602,0,2025-2026
4813386,Premier_League,2025-08-23T16:30:00.000Z,9825,5,8463,0,2025-2026
4813387,Premier_League,2025-08-23T14:00:00.000Z,9937,1,10252,0,2025-2026
4813388,Premier_League,2025-08-23T14:00:00.000Z,8191,2,8472,0,2025-2026
4813389,Premier_League,2025-08-24T13:00:00.000Z,9826,1,10203,1,2025-2026
4813390,Premier_League,2025-08-24T13:00:00.000Z,8668,2,10204,0,2025-2026
4813391,Premier_League,2025-08-24T15:30:00.000Z,9879,1,10260,1,2025-2026
4813392,Premier_League,2025-08-23T11:30:00.000Z,8456,0,8586,2,2025-2026
4813393,Premier_League,2025-08-25T19:00:00.000Z,10261,2,8650,3,2025-2026
4813394,Premier_League,2025-08-22T19:00:00.000Z,8654,1,8455,5,2025-2026
4813395,Premier_League,2025-08-31T18:00:00.000Z,10252,0,9826,3,2025-2026
4813396,Premier_League,2025-08-31T13:00:00.000Z,10204,2,8456,1,2025-2026
4813397,Premier_League,2025-08-30T11:30:00.000Z,8455,2,9879,0,2025-2026
4813398,Premier_League,2025-08-30T16:30:00.000Z,8463,0,10261,0,2025-2026
4813399,Premier_League,2025-08-31T15:30:00.000Z,8650,1,9825,0,2025-2026
4813400,Premier_League,2025-08-30T14:00:00.000Z,10260,3,8191,2,2025-2026
4813401,Premier_League,2025-08-31T13:00:00.000Z,10203,0,8654,3,2025-2026
4813402,Premier_League,2025-08-30T14:00:00.000Z,8472,2,9937,1,2025-2026
4813403,Premier_League,2025-08-30T14:00:00.000Z,8586,0,8678,1,2025-2026
4813404,Premier_League,2025-08-30T14:00:00.000Z,8602,2,8668,3,2025-2026
4813405,Premier_League,2025-09-13T14:00:00.000Z,8678,2,10204,1,2025-2026
4813406,Premier_League,2025-09-13T11:30:00.000Z,9825,3,10203,0,2025-2026
4813407,Premier_League,2025-09-13T19:00:00.000Z,9937,2,8455,2,2025-2026
4813408,Premier_League,2025-09-14T13:00:00.000Z,8191,0,8650,1,2025-2026
4813409,Premier_League,2025-09-13T14:00:00.000Z,9826,0,8472,0,2025-2026
4813410,Premier_League,2025-09-13T14:00:00.000Z,8668,0,10252,0,2025-2026
4813411,Premier_League,2025-09-13T14:00:00.000Z,9879,1,8463,0,2025-2026
4813412,Premier_League,2025-09-14T15:30:00.000Z,8456,3,10260,0,2025-2026
4813413,Premier_League,2025-09-13T14:00:00.000Z,10261,1,8602,0,2025-2026
4813414,Premier_League,2025-09-13T16:30:00.000Z,8654,0,8586,3,2025-2026
