,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
<<<<<<< HEAD
att_str[Arsenal],0.209,0.198,-0.154,0.583,0.002,0.003,6848.0,2729.0,1.0
att_str[Aston Villa],-0.057,0.213,-0.477,0.329,0.003,0.004,5972.0,3037.0,1.0
att_str[Bournemouth],0.012,0.207,-0.372,0.409,0.003,0.004,6060.0,3014.0,1.0
att_str[Brentford],0.023,0.204,-0.35,0.414,0.003,0.003,5989.0,2823.0,1.0
att_str[Brighton],0.086,0.204,-0.31,0.47,0.003,0.004,5410.0,2691.0,1.0
att_str[Burnley],-0.422,0.239,-0.858,0.053,0.003,0.004,5543.0,2870.0,1.0
att_str[Chelsea],0.225,0.205,-0.14,0.635,0.003,0.003,6494.0,2989.0,1.0
att_str[Crystal Palace],0.077,0.204,-0.293,0.471,0.003,0.004,5695.0,2935.0,1.0
att_str[Everton],-0.132,0.204,-0.521,0.25,0.003,0.003,6099.0,3036.0,1.0
att_str[Fulham],-0.09,0.207,-0.491,0.284,0.003,0.003,6026.0,2912.0,1.0
att_str[Leeds],-0.189,0.234,-0.623,0.26,0.003,0.004,5818.0,2821.0,1.0
att_str[Liverpool],0.292,0.199,-0.074,0.667,0.003,0.003,6312.0,3155.0,1.0
att_str[Man City],0.257,0.19,-0.105,0.603,0.003,0.003,5745.0,3074.0,1.0
att_str[Man United],0.025,0.206,-0.368,0.403,0.003,0.004,6593.0,3048.0,1.0
att_str[Newcastle],0.08,0.207,-0.302,0.468,0.003,0.003,5795.0,3004.0,1.0
att_str[Nottm Forest],-0.169,0.212,-0.553,0.243,0.003,0.004,6185.0,2892.0,1.0
att_str[Sunderland],-0.544,0.257,-1.029,-0.068,0.003,0.004,6737.0,2764.0,1.0
att_str[Tottenham],0.017,0.204,-0.367,0.391,0.003,0.003,6165.0,3273.0,1.0
att_str[West Ham],-0.149,0.209,-0.539,0.234,0.003,0.003,6470.0,3085.0,1.0
att_str[Wolves],-0.18,0.212,-0.561,0.233,0.003,0.003,6766.0,3165.0,1.0
def_str[Arsenal],-0.522,0.216,-0.94,-0.122,0.003,0.003,6198.0,3281.0,1.0
def_str[Aston Villa],-0.095,0.217,-0.487,0.331,0.003,0.003,5585.0,3449.0,1.0
def_str[Bournemouth],-0.123,0.206,-0.498,0.261,0.003,0.003,6361.0,3199.0,1.0
def_str[Brentford],-0.007,0.206,-0.372,0.397,0.003,0.004,6483.0,2880.0,1.0
def_str[Brighton],0.032,0.204,-0.333,0.431,0.003,0.003,4880.0,2999.0,1.0
def_str[Burnley],0.231,0.223,-0.186,0.652,0.003,0.004,5713.0,3141.0,1.0
def_str[Chelsea],-0.23,0.224,-0.633,0.208,0.003,0.004,6832.0,3206.0,1.0
def_str[Crystal Palace],-0.065,0.205,-0.445,0.309,0.003,0.003,6101.0,3243.0,1.0
def_str[Everton],-0.14,0.203,-0.54,0.214,0.003,0.003,6184.0,3132.0,1.0
def_str[Fulham],-0.094,0.198,-0.454,0.28,0.003,0.003,6188.0,3201.0,1.0
def_str[Leeds],-0.014,0.222,-0.436,0.401,0.003,0.004,6922.0,2884.0,1.0
def_str[Liverpool],-0.251,0.216,-0.656,0.167,0.003,0.004,6900.0,2982.0,1.0
def_str[Man City],-0.255,0.21,-0.651,0.138,0.003,0.003,6690.0,3189.0,1.0
def_str[Man United],0.014,0.209,-0.36,0.418,0.003,0.004,6386.0,2988.0,1.0
def_str[Newcastle],-0.245,0.22,-0.656,0.166,0.003,0.004,5914.0,3033.0,1.0
def_str[Nottm Forest],0.058,0.202,-0.321,0.432,0.003,0.003,6121.0,2928.0,1.0
def_str[Sunderland],0.068,0.231,-0.373,0.483,0.003,0.004,5737.0,2914.0,1.0
def_str[Tottenham],0.034,0.201,-0.37,0.383,0.003,0.003,5859.0,3015.0,1.0
def_str[West Ham],0.129,0.198,-0.254,0.487,0.003,0.003,5683.0,3211.0,1.0
