,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.257,0.198,-0.108,0.627,0.003,0.003,6216.0,3217.0,1.0
att_str_raw[Aston Villa],-0.019,0.21,-0.399,0.383,0.002,0.004,7188.0,3038.0,1.0
att_str_raw[Bournemouth],0.116,0.199,-0.257,0.486,0.002,0.003,6943.0,3090.0,1.0
att_str_raw[Brentford],0.099,0.198,-0.253,0.485,0.003,0.004,5828.0,2360.0,1.0
att_str_raw[Brighton],0.131,0.202,-0.236,0.513,0.002,0.004,7350.0,3244.0,1.0
att_str_raw[Burnley],-0.356,0.237,-0.819,0.083,0.003,0.004,6970.0,3131.0,1.0
att_str_raw[Chelsea],0.283,0.194,-0.077,0.649,0.002,0.003,6727.0,3167.0,1.0
att_str_raw[Crystal Palace],0.203,0.197,-0.152,0.572,0.002,0.003,6343.0,3006.0,1.0
att_str_raw[Everton],-0.093,0.202,-0.47,0.276,0.002,0.003,7249.0,3481.0,1.0
att_str_raw[Fulham],-0.056,0.205,-0.435,0.338,0.002,0.004,6955.0,3172.0,1.0
att_str_raw[Leeds],-0.131,0.226,-0.577,0.279,0.003,0.004,6611.0,2939.0,1.0
att_str_raw[Liverpool],0.34,0.2,-0.031,0.721,0.002,0.003,7373.0,2699.0,1.0
att_str_raw[Man City],0.312,0.191,-0.03,0.679,0.002,0.003,6685.0,3112.0,1.0
att_str_raw[Man United],0.097,0.2,-0.27,0.485,0.002,0.003,7093.0,3031.0,1.0
att_str_raw[Newcastle],0.119,0.202,-0.244,0.512,0.002,0.003,7603.0,2752.0,1.0
att_str_raw[Nottm Forest],-0.093,0.206,-0.462,0.299,0.002,0.003,7587.0,2967.0,1.0
att_str_raw[Sunderland],-0.44,0.236,-0.881,0.004,0.003,0.004,7177.0,3266.0,1.0
att_str_raw[Tottenham],0.053,0.199,-0.322,0.422,0.002,0.004,6403.0,2977.0,1.0
att_str_raw[West Ham],-0.132,0.205,-0.514,0.253,0.003,0.003,6304.0,2910.0,1.0
att_str_raw[Wolves],-0.158,0.21,-0.549,0.226,0.003,0.003,6242.0,2952.0,1.0
def_str_raw[Arsenal],-0.483,0.211,-0.862,-0.065,0.003,0.003,7093.0,2943.0,1.0
def_str_raw[Aston Villa],-0.066,0.205,-0.471,0.299,0.002,0.004,7317.0,2599.0,1.0
def_str_raw[Bournemouth],0.02,0.203,-0.373,0.38,0.002,0.003,7108.0,3290.0,1.0
def_str_raw[Brentford],0.004,0.195,-0.357,0.363,0.002,0.003,6651.0,2936.0,1.0
def_str_raw[Brighton],0.081,0.198,-0.283,0.441,0.002,0.003,7165.0,3353.0,1.0
def_str_raw[Burnley],0.29,0.213,-0.126,0.68,0.003,0.004,6380.0,2912.0,1.0
def_str_raw[Chelsea],-0.168,0.215,-0.6,0.207,0.003,0.004,7164.0,2954.0,1.0
def_str_raw[Crystal Palace],0.031,0.196,-0.33,0.401,0.002,0.004,7570.0,2417.0,1.0
def_str_raw[Everton],-0.074,0.2,-0.445,0.302,0.003,0.004,6424.0,2489.0,1.0
def_str_raw[Fulham],-0.042,0.197,-0.392,0.339,0.002,0.003,7337.0,3311.0,1.0
def_str_raw[Leeds],0.052,0.229,-0.378,0.479,0.003,0.004,7360.0,2674.0,1.0
def_str_raw[Liverpool],-0.189,0.21,-0.589,0.193,0.002,0.004,7406.0,2590.0,1.0
def_str_raw[Man City],-0.205,0.211,-0.618,0.173,0.002,0.004,7235.0,3135.0,1.0
def_str_raw[Man United],0.071,0.2,-0.302,0.457,0.002,0.003,7619.0,3011.0,1.0
def_str_raw[Newcastle],-0.191,0.204,-0.562,0.193,0.002,0.003,7386.0,3187.0,1.0
def_str_raw[Nottm Forest],0.118,0.193,-0.242,0.481,0.003,0.003,5924.0,2857.0,1.0
def_str_raw[Sunderland],0.086,0.22,-0.333,0.488,0.003,0.004,6222.0,3084.0,1.0
def_str_raw[Tottenham],0.072,0.203,-0.299,0.457,0.003,0.004,6344.0,3150.0,1.0
def_str_raw[West Ham],0.196,0.194,-0.184,0.553,0.002,0.003,6433.0,3092.0,1.0
def_str_raw[Wolves],0.188,0.198,-0.184,0.549,0.002,0.003,6912.0,3139.0,1.0
home_adv,0.144,0.075,0.004,0.286,0.001,0.001,6293.0,2764.0,1.0
baseline,0.225,0.043,0.142,0.306,0.001,0.001,5987.0,3169.0,1.0
att_str[Arsenal],0.23,0.19,-0.123,0.576,0.002,0.003,6835.0,3070.0,1.0
att_str[Aston Villa],-0.046,0.205,-0.416,0.348,0.002,0.004,7940.0,2990.0,1.0
att_str[Bournemouth],0.089,0.19,-0.276,0.429,0.002,0.003,7117.0,2996.0,1.0
att_str[Brentford],0.073,0.191,-0.281,0.427,0.002,0.004,6226.0,2429.0,1.0
att_str[Brighton],0.105,0.196,-0.257,0.463,0.002,0.004,7638.0,2949.0,1.0
att_str[Burnley],-0.382,0.229,-0.819,0.048,0.003,0.004,7037.0,2934.0,1.0
att_str[Chelsea],0.256,0.185,-0.094,0.601,0.002,0.003,6946.0,2968.0,1.0
att_str[Crystal Palace],0.177,0.189,-0.172,0.534,0.002,0.003,6851.0,2610.0,1.0
att_str[Everton],-0.119,0.195,-0.486,0.241,0.002,0.003,7026.0,3305.0,1.0
att_str[Fulham],-0.083,0.197,-0.44,0.299,0.002,0.003,6870.0,2902.0,1.0
att_str[Leeds],-0.157,0.215,-0.551,0.259,0.003,0.004,6896.0,3247.0,1.0
att_str[Liverpool],0.313,0.192,-0.047,0.681,0.002,0.003,7490.0,2629.0,1.0
att_str[Man City],0.286,0.181,-0.048,0.624,0.002,0.003,7832.0,3156.0,1.0
att_str[Man United],0.07,0.195,-0.305,0.433,0.002,0.003,6960.0,2676.0,1.0
att_str[Newcastle],0.092,0.196,-0.298,0.439,0.002,0.003,7696.0,2906.0,1.0
att_str[Nottm Forest],-0.12,0.198,-0.489,0.236,0.002,0.003,8225.0,3392.0,1.0
att_str[Sunderland],-0.467,0.226,-0.927,-0.075,0.003,0.004,7382.0,3104.0,1.0
att_str[Tottenham],0.026,0.19,-0.329,0.377,0.002,0.003,6820.0,2666.0,1.0
att_str[West Ham],-0.158,0.198,-0.507,0.224,0.002,0.003,6856.0,3006.0,1.0
att_str[Wolves],-0.184,0.204,-0.563,0.196,0.003,0.003,6495.0,2884.0,1.0
def_str[Arsenal],-0.473,0.203,-0.841,-0.074,0.002,0.003,6659.0,3054.0,1.0
def_str[Aston Villa],-0.056,0.197,-0.433,0.305,0.002,0.004,7132.0,2369.0,1.0
def_str[Bournemouth],0.03,0.194,-0.33,0.395,0.002,0.003,7715.0,2867.0,1.0
def_str[Brentford],0.014,0.187,-0.34,0.351,0.002,0.003,7323.0,3012.0,1.0
def_str[Brighton],0.091,0.19,-0.26,0.432,0.002,0.003,7294.0,3087.0,1.0
def_str[Burnley],0.3,0.201,-0.108,0.661,0.002,0.004,7029.0,2800.0,1.0
def_str[Chelsea],-0.157,0.209,-0.551,0.236,0.002,0.004,7398.0,3074.0,1.0
def_str[Crystal Palace],0.042,0.187,-0.312,0.383,0.002,0.003,8041.0,2909.0,1.0
def_str[Everton],-0.064,0.193,-0.44,0.279,0.002,0.004,6792.0,2559.0,1.0
def_str[Fulham],-0.031,0.189,-0.378,0.327,0.002,0.003,8396.0,3245.0,1.0
def_str[Leeds],0.063,0.217,-0.353,0.47,0.002,0.004,7811.0,2908.0,1.0
def_str[Liverpool],-0.178,0.2,-0.555,0.197,0.002,0.004,7995.0,2765.0,1.0
def_str[Man City],-0.195,0.204,-0.596,0.165,0.002,0.004,7659.0,2812.0,1.0
def_str[Man United],0.082,0.192,-0.274,0.435,0.002,0.003,8187.0,3148.0,1.0
def_str[Newcastle],-0.181,0.2,-0.554,0.186,0.002,0.003,7683.0,3061.0,1.0
def_str[Nottm Forest],0.128,0.185,-0.221,0.483,0.002,0.003,6577.0,3017.0,1.0
def_str[Sunderland],0.097,0.211,-0.29,0.494,0.003,0.004,6913.0,3276.0,1.0
def_str[Tottenham],0.083,0.198,-0.291,0.453,0.002,0.004,6914.0,2971.0,1.0
def_str[West Ham],0.207,0.185,-0.138,0.554,0.002,0.003,7166.0,2964.0,1.0
def_str[Wolves],0.199,0.189,-0.144,0.55,0.002,0.003,7489.0,3184.0,1.0
