,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
def_str[Fulham],-0.054,0.17,-0.372,0.27,0.002,0.003,9043.0,2931.0,1.0
def_str[Leeds],0.184,0.174,-0.141,0.505,0.002,0.003,7132.0,2575.0,1.0
def_str[Liverpool],-0.143,0.178,-0.475,0.193,0.002,0.003,6832.0,2997.0,1.0
def_str[Man City],-0.174,0.175,-0.499,0.159,0.002,0.003,8124.0,2924.0,1.0
def_str[Man United],0.062,0.176,-0.269,0.383,0.002,0.003,8284.0,2890.0,1.0
def_str[Newcastle],-0.089,0.176,-0.414,0.232,0.002,0.003,7753.0,3355.0,1.0
def_str[Nottm Forest],0.06,0.167,-0.251,0.357,0.002,0.003,8463.0,3369.0,1.0
def_str[Sunderland],0.078,0.186,-0.26,0.433,0.002,0.004,8791.0,2597.0,1.0
def_str[Tottenham],0.101,0.167,-0.207,0.421,0.002,0.003,8047.0,3269.0,1.0
def_str[West Ham],0.226,0.163,-0.085,0.526,0.002,0.003,8440.0,3397.0,1.0
def_str[Wolves],0.212,0.171,-0.095,0.546,0.002,0.003,8673.0,2920.0,1.0
