Team,P (Before),GF/G (Before),GA/G (Before),GD/G (Before),PPG (Before),P (After),GF/G (After),GA/G (After),GD/G (After),PPG (After)
Nordsjælland,18,1.61,1.78,-0.17,1.33,9,1.78,1.11,0.67,2.22
Brøndby IF,18,1.72,1.17,0.56,1.72,10,0.9,0.6,0.3,1.0
