round,match_date,home_team,home_goals,away_team,away_goals,match_url
1,Friday 19 July 2024,AGF,1,FC Midtjylland,1,https://www.fotmob.com/en-GB/matches/agf-vs-fc-midtjylland/25zalp#4494869
1,Friday 19 July 2024,Nordsjælland,3,AaB,0,https://www.fotmob.com/en-GB/matches/aab-vs-nordsjaelland/2vspam#4494870
1,Sunday 21 July 2024,Silkeborg,1,Sønderjyske,0,https://www.fotmob.com/en-GB/matches/silkeborg-vs-sonderjyske/2d1w70#4494871
1,Sunday 21 July 2024,Vejle Boldklub,2,Randers FC,3,https://www.fotmob.com/en-GB/matches/vejle-boldklub-vs-randers-fc/2ag2fv#4494872
1,Sunday 21 July 2024,Viborg,3,Brøndby IF,3,https://www.fotmob.com/en-GB/matches/brondby-if-vs-viborg/2u9pi0#4494873
1,Monday 22 July 2024,Lyngby,0,FC København,2,https://www.fotmob.com/en-GB/matches/fc-kobenhavn-vs-lyngby/2rojuq#4494874
