,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
def_str[Crystal Palace],-0.013,0.155,-0.299,0.276,0.002,0.003,7579.0,3051.0,1.0
def_str[Everton],0.057,0.15,-0.224,0.342,0.002,0.003,7461.0,2966.0,1.0
def_str[Fulham],-0.001,0.149,-0.255,0.308,0.002,0.003,6307.0,2855.0,1.0
def_str[Leeds],0.032,0.151,-0.233,0.326,0.002,0.003,7040.0,2830.0,1.0
def_str[Liverpool],-0.053,0.158,-0.345,0.243,0.002,0.003,7133.0,2809.0,1.0
def_str[Man City],-0.145,0.166,-0.466,0.145,0.002,0.003,7366.0,2701.0,1.0
def_str[Man United],-0.032,0.162,-0.333,0.266,0.002,0.003,7111.0,3112.0,1.0
def_str[Newcastle],0.002,0.153,-0.299,0.285,0.002,0.003,7766.0,2923.0,1.0
def_str[Nottm Forest],0.03,0.148,-0.252,0.306,0.002,0.003,6168.0,2760.0,1.0
def_str[Sunderland],0.028,0.148,-0.26,0.287,0.002,0.002,8303.0,3197.0,1.0
def_str[Tottenham],0.038,0.148,-0.255,0.304,0.002,0.002,6614.0,3452.0,1.0
def_str[West Ham],0.116,0.147,-0.16,0.389,0.002,0.003,7144.0,2862.0,1.01
def_str[Wolves],0.144,0.14,-0.124,0.41,0.002,0.002,7514.0,3027.0,1.0
