Minute,Player,Squad,xG,PSxG,Outcome,Side,match_url
25,Son Heung-min,Tottenham,0.06,0.54,Goal,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
44,Leandro Trossard,Arsenal,0.05,0.08,Goal,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
45+3,Kai Havertz,Arsenal,0.05,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
46,Raheem Sterling,Arsenal,0.07,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
50,Son Heung-min,Tottenham,0.05,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
53,Kai Havertz,Arsenal,0.25,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
56,Kai Havertz,Arsenal,0.10,0.04,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
57,Brennan Johnson,Tottenham,0.05,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
59,Leandro Trossard,Arsenal,0.10,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
59,Raheem Sterling,Arsenal,0.06,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
66,James Maddison,Tottenham,0.08,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
73,Dominic Solanke,Tottenham,0.08,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
73,Declan Rice,Arsenal,0.13,0.03,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
74,Martin Ødegaard,Arsenal,0.08,0.14,Saved,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
76,Gabriel Martinelli,Arsenal,0.04,0.00,Blocked,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
77,Gabriel Magalhães,Arsenal,0.03,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
84,Martin Ødegaard,Arsenal,0.30,0.00,Off Target,home,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
85,Dominic Solanke,Tottenham,0.12,0.00,Blocked,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
87,Pedro Porro,Tottenham,0.02,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
90+2,Dominic Solanke,Tottenham,0.06,0.00,Off Target,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
90+4,Pedro Porro,Tottenham,0.01,0.00,Woodwork,away,https://fbref.com/en/matches/ee9ce5e2/North-London-Derby-Arsenal-Tottenham-Hotspur-January-15-2025-Premier-League
