,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Barnsley],-0.466,0.282,-0.984,0.067,0.019,0.013,225.0,836.0,1.0
att_str_raw[Birmingham],-0.071,0.261,-0.579,0.395,0.019,0.014,187.0,622.0,1.0
att_str_raw[Blackburn],0.018,0.261,-0.474,0.508,0.019,0.013,195.0,477.0,1.0
att_str_raw[Blackpool],-0.051,0.259,-0.545,0.408,0.019,0.014,182.0,445.0,1.0
att_str_raw[Bournemouth],0.197,0.256,-0.275,0.659,0.019,0.013,181.0,623.0,1.0
att_str_raw[Bristol City],0.066,0.254,-0.4,0.55,0.018,0.013,190.0,525.0,1.0
att_str_raw[Cardiff City],-0.122,0.261,-0.603,0.379,0.018,0.013,200.0,701.0,1.0
att_str_raw[Coventry],0.072,0.254,-0.405,0.545,0.018,0.013,190.0,417.0,1.0
att_str_raw[Derby],-0.216,0.274,-0.735,0.281,0.019,0.014,201.0,644.0,1.0
att_str_raw[Fulham],0.472,0.24,0.012,0.906,0.019,0.013,162.0,506.0,1.0
att_str_raw[Huddersfield Town],-0.002,0.252,-0.474,0.465,0.019,0.013,183.0,582.0,1.0
att_str_raw[Hull],-0.275,0.276,-0.802,0.228,0.019,0.013,220.0,778.0,1.0
att_str_raw[Luton Town],0.038,0.255,-0.454,0.502,0.019,0.013,187.0,586.0,1.0
att_str_raw[Middlesbrough],0.049,0.254,-0.418,0.534,0.019,0.013,181.0,649.0,1.0
att_str_raw[Millwall],-0.099,0.265,-0.588,0.398,0.019,0.013,199.0,606.0,1.0
att_str_raw[Nottm Forest],0.222,0.248,-0.276,0.659,0.019,0.013,174.0,521.0,1.01
att_str_raw[Peterborough United],-0.239,0.271,-0.737,0.286,0.019,0.013,215.0,628.0,1.0
att_str_raw[Preston],-0.104,0.267,-0.587,0.402,0.019,0.013,207.0,800.0,1.0
att_str_raw[QPR],-0.047,0.261,-0.555,0.421,0.019,0.013,192.0,583.0,1.0
att_str_raw[Reading],-0.101,0.261,-0.606,0.363,0.019,0.013,194.0,622.0,1.0
att_str_raw[Sheff Utd],0.113,0.248,-0.377,0.551,0.018,0.013,191.0,591.0,1.0
