,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.4,0.244,-0.029,0.875,0.015,0.01,271.0,689.0,1.01
att_str_raw[Aston Villa],0.023,0.263,-0.478,0.513,0.015,0.011,303.0,676.0,1.01
att_str_raw[Bournemouth],-0.272,0.275,-0.78,0.271,0.015,0.011,324.0,893.0,1.01
att_str_raw[Brentford],0.101,0.254,-0.382,0.567,0.015,0.011,290.0,742.0,1.01
att_str_raw[Brighton],0.372,0.25,-0.067,0.876,0.015,0.011,263.0,732.0,1.01
att_str_raw[Chelsea],-0.197,0.271,-0.726,0.292,0.015,0.011,323.0,756.0,1.01
att_str_raw[Crystal Palace],-0.242,0.271,-0.745,0.264,0.015,0.011,314.0,906.0,1.01
att_str_raw[Everton],-0.133,0.268,-0.638,0.37,0.015,0.011,319.0,977.0,1.01
att_str_raw[Fulham],-0.088,0.271,-0.615,0.385,0.015,0.011,331.0,885.0,1.01
att_str_raw[Leeds],-0.105,0.272,-0.627,0.389,0.015,0.011,326.0,930.0,1.01
att_str_raw[Leicester],0.023,0.262,-0.455,0.541,0.015,0.011,296.0,836.0,1.01
att_str_raw[Liverpool],0.371,0.248,-0.097,0.827,0.015,0.011,261.0,691.0,1.01
att_str_raw[Man City],0.489,0.245,0.004,0.923,0.015,0.011,265.0,768.0,1.01
att_str_raw[Man United],0.245,0.252,-0.219,0.709,0.015,0.011,285.0,691.0,1.01
att_str_raw[Newcastle],0.294,0.253,-0.179,0.764,0.015,0.011,279.0,749.0,1.01
att_str_raw[Nottm Forest],-0.259,0.274,-0.794,0.222,0.015,0.011,338.0,870.0,1.01
att_str_raw[Southampton],-0.309,0.277,-0.819,0.222,0.015,0.01,349.0,988.0,1.01
att_str_raw[Tottenham],0.16,0.257,-0.294,0.649,0.015,0.011,285.0,806.0,1.01
att_str_raw[West Ham],-0.089,0.265,-0.581,0.432,0.015,0.011,304.0,826.0,1.01
att_str_raw[Wolves],-0.382,0.289,-0.919,0.162,0.015,0.011,359.0,992.0,1.01
def_str_raw[Arsenal],-0.221,0.287,-0.74,0.338,0.017,0.012,271.0,639.0,1.01
def_str_raw[Aston Villa],-0.061,0.285,-0.617,0.464,0.018,0.013,251.0,637.0,1.01
def_str_raw[Bournemouth],0.251,0.273,-0.275,0.752,0.018,0.013,230.0,564.0,1.01
def_str_raw[Brentford],-0.093,0.286,-0.646,0.427,0.018,0.013,257.0,674.0,1.01
def_str_raw[Brighton],0.06,0.282,-0.486,0.561,0.018,0.012,258.0,627.0,1.01
def_str_raw[Chelsea],-0.075,0.282,-0.599,0.465,0.018,0.013,239.0,616.0,1.02
def_str_raw[Crystal Palace],-0.107,0.29,-0.621,0.461,0.018,0.013,258.0,654.0,1.01
def_str_raw[Everton],0.128,0.276,-0.396,0.627,0.018,0.013,235.0,592.0,1.01
def_str_raw[Fulham],0.105,0.281,-0.44,0.601,0.018,0.013,245.0,604.0,1.01
def_str_raw[Leeds],0.289,0.27,-0.184,0.829,0.018,0.013,230.0,573.0,1.01
def_str_raw[Leicester],0.202,0.276,-0.314,0.712,0.018,0.013,232.0,615.0,1.01
def_str_raw[Liverpool],-0.022,0.285,-0.575,0.496,0.018,0.013,253.0,664.0,1.01
def_str_raw[Man City],-0.434,0.3,-0.986,0.136,0.018,0.013,282.0,689.0,1.01
