,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.512,0.448,-0.353,1.319,0.008,0.006,3077.0,3008.0,1.0
att_str_raw[Aston Villa],-1.062,0.701,-2.414,0.205,0.011,0.009,4417.0,3052.0,1.0
att_str_raw[Bournemouth],0.366,0.515,-0.599,1.313,0.009,0.007,3377.0,2881.0,1.0
att_str_raw[Brentford],0.171,0.519,-0.821,1.12,0.009,0.007,3405.0,2841.0,1.0
att_str_raw[Brighton],0.036,0.539,-0.968,1.058,0.009,0.008,3663.0,2930.0,1.0
att_str_raw[Burnley],0.239,0.545,-0.777,1.257,0.009,0.007,3657.0,3220.0,1.0
att_str_raw[Chelsea],0.548,0.469,-0.322,1.433,0.008,0.006,3108.0,3150.0,1.0
att_str_raw[Crystal Palace],-0.033,0.547,-1.054,0.993,0.009,0.008,3435.0,2726.0,1.0
att_str_raw[Everton],-0.147,0.497,-1.072,0.783,0.009,0.007,3137.0,2857.0,1.0
att_str_raw[Fulham],-0.373,0.547,-1.389,0.664,0.009,0.008,3880.0,3028.0,1.0
att_str_raw[Leeds],-0.626,0.657,-1.894,0.571,0.01,0.009,4535.0,2924.0,1.0
att_str_raw[Liverpool],0.82,0.513,-0.131,1.75,0.008,0.006,3712.0,3240.0,1.0
att_str_raw[Man City],0.395,0.473,-0.536,1.224,0.008,0.007,3075.0,3320.0,1.0
att_str_raw[Man United],0.088,0.545,-0.901,1.136,0.01,0.008,3305.0,2704.0,1.0
att_str_raw[Newcastle],-0.7,0.603,-1.787,0.467,0.009,0.008,4213.0,2822.0,1.0
att_str_raw[Nottm Forest],-0.199,0.554,-1.232,0.84,0.009,0.008,3505.0,2792.0,1.0
att_str_raw[Sunderland],-0.129,0.517,-1.13,0.828,0.009,0.007,3505.0,3140.0,1.0
att_str_raw[Tottenham],0.362,0.497,-0.564,1.27,0.009,0.006,3402.0,3323.0,1.0
att_str_raw[West Ham],0.232,0.551,-0.909,1.175,0.009,0.007,3761.0,3224.0,1.0
att_str_raw[Wolves],-0.31,0.591,-1.366,0.823,0.01,0.008,3807.0,2589.0,1.0
def_str_raw[Arsenal],-0.915,0.642,-2.136,0.268,0.01,0.008,4300.0,2983.0,1.0
def_str_raw[Aston Villa],0.137,0.542,-0.836,1.161,0.009,0.007,3893.0,3275.0,1.0
def_str_raw[Bournemouth],-0.049,0.532,-1.031,0.977,0.009,0.007,3579.0,3020.0,1.0
def_str_raw[Brentford],0.547,0.509,-0.495,1.408,0.009,0.007,3137.0,2821.0,1.0
def_str_raw[Brighton],0.246,0.495,-0.743,1.132,0.009,0.006,3343.0,3273.0,1.0
def_str_raw[Burnley],0.249,0.489,-0.645,1.175,0.009,0.007,2946.0,2826.0,1.0
def_str_raw[Chelsea],-0.253,0.58,-1.264,0.897,0.01,0.008,3740.0,2944.0,1.0
def_str_raw[Crystal Palace],-0.743,0.65,-1.91,0.488,0.01,0.008,4057.0,3501.0,1.0
def_str_raw[Everton],0.071,0.589,-1.003,1.184,0.01,0.008,3800.0,3130.0,1.0
def_str_raw[Fulham],-0.096,0.531,-1.107,0.875,0.009,0.009,3234.0,2830.0,1.0
def_str_raw[Leeds],0.385,0.496,-0.572,1.301,0.009,0.006,3320.0,2858.0,1.0
def_str_raw[Liverpool],-0.339,0.593,-1.474,0.718,0.01,0.008,3931.0,3180.0,1.0
def_str_raw[Man City],-0.041,0.53,-1.029,0.958,0.009,0.007,3393.0,3152.0,1.0
def_str_raw[Man United],0.308,0.477,-0.55,1.213,0.008,0.006,3581.0,3208.0,1.0
def_str_raw[Newcastle],-0.457,0.684,-1.682,0.818,0.01,0.01,4624.0,2759.0,1.0
def_str_raw[Nottm Forest],0.416,0.464,-0.449,1.296,0.009,0.006,2948.0,2918.0,1.0
def_str_raw[Sunderland],-0.337,0.552,-1.353,0.685,0.009,0.007,3913.0,2887.0,1.0
def_str_raw[Tottenham],-0.864,0.621,-2.055,0.263,0.01,0.008,4000.0,3058.0,1.0
def_str_raw[West Ham],0.767,0.467,-0.116,1.652,0.009,0.006,2936.0,3117.0,1.0
def_str_raw[Wolves],0.845,0.476,-0.044,1.72,0.008,0.006,3299.0,2886.0,1.0
home_adv,0.228,0.142,-0.037,0.485,0.002,0.002,3937.0,3029.0,1.0
baseline,-0.216,0.135,-0.472,0.033,0.002,0.002,3167.0,3011.0,1.0
