,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str[Plymouth Argyle],-0.086,0.16,-0.393,0.206,0.002,0.002,5486.0,2709.0,1.0
att_str[Portsmouth],0.024,0.151,-0.277,0.29,0.002,0.003,6139.0,2807.0,1.0
att_str[Preston],-0.101,0.156,-0.388,0.187,0.002,0.002,5212.0,3101.0,1.0
att_str[QPR],-0.043,0.157,-0.334,0.238,0.002,0.003,5263.0,2812.0,1.0
att_str[Sheff Utd],0.064,0.142,-0.207,0.329,0.002,0.002,5780.0,2772.0,1.0
att_str[Sheff Wed],0.106,0.147,-0.18,0.374,0.002,0.002,6360.0,3034.0,1.0
att_str[Stoke],-0.132,0.158,-0.429,0.153,0.002,0.002,5409.0,3015.0,1.0
att_str[Sunderland],0.07,0.141,-0.197,0.33,0.002,0.002,6148.0,2757.0,1.0
att_str[Swansea],-0.02,0.149,-0.306,0.254,0.002,0.002,5655.0,3120.0,1.0
att_str[Watford],-0.054,0.157,-0.334,0.253,0.002,0.003,6013.0,2656.0,1.0
att_str[West Brom],0.057,0.145,-0.208,0.336,0.002,0.002,6230.0,3027.0,1.0
def_str[Blackburn],-0.042,0.152,-0.327,0.238,0.002,0.002,7624.0,3196.0,1.0
def_str[Bristol City],0.036,0.149,-0.244,0.316,0.002,0.003,7327.0,2563.0,1.0
def_str[Burnley],-0.593,0.199,-0.984,-0.227,0.003,0.002,4846.0,2891.0,1.0
def_str[Cardiff City],0.178,0.14,-0.081,0.448,0.002,0.001,7172.0,2419.0,1.0
def_str[Coventry],0.016,0.159,-0.283,0.308,0.002,0.003,6978.0,2359.0,1.0
def_str[Derby],-0.057,0.151,-0.324,0.243,0.002,0.002,6418.0,2691.0,1.0
def_str[Hull],-0.099,0.157,-0.401,0.193,0.002,0.002,7075.0,2869.0,1.0
def_str[Leeds],-0.533,0.196,-0.892,-0.161,0.003,0.002,4796.0,2766.0,1.0
def_str[Luton Town],0.073,0.154,-0.215,0.355,0.002,0.002,7477.0,2817.0,1.0
def_str[Middlesbrough],-0.009,0.157,-0.297,0.277,0.002,0.003,6463.0,2743.0,1.0
def_str[Millwall],-0.06,0.157,-0.364,0.23,0.002,0.002,6625.0,2835.0,1.0
def_str[Norwich],0.07,0.148,-0.199,0.345,0.002,0.002,7466.0,2909.0,1.0
def_str[Oxford Utd],0.196,0.136,-0.05,0.445,0.002,0.001,7037.0,3151.0,1.0
def_str[Plymouth Argyle],0.447,0.124,0.211,0.671,0.001,0.001,7496.0,2896.0,1.0
def_str[Portsmouth],0.229,0.136,-0.031,0.476,0.002,0.001,7950.0,2811.0,1.0
def_str[Preston],-0.006,0.149,-0.277,0.277,0.002,0.002,6725.0,3083.0,1.0
def_str[QPR],0.055,0.151,-0.245,0.317,0.002,0.003,6136.0,2672.0,1.0
def_str[Sheff Utd],-0.236,0.16,-0.519,0.078,0.002,0.002,6218.0,2782.0,1.0
def_str[Sheff Wed],0.175,0.144,-0.11,0.428,0.002,0.002,6998.0,2845.0,1.0
def_str[Stoke],0.238,0.135,-0.016,0.485,0.002,0.001,7531.0,2986.0,1.0
def_str[Sunderland],-0.14,0.153,-0.431,0.135,0.002,0.002,6370.0,2985.0,1.0
def_str[Swansea],0.023,0.148,-0.246,0.305,0.002,0.003,6001.0,2970.0,1.0
def_str[Watford],0.15,0.14,-0.134,0.397,0.002,0.002,6134.0,3043.0,1.0
def_str[West Brom],-0.111,0.161,-0.415,0.178,0.002,0.002,6668.0,3053.0,1.0
