,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Birmingham],-0.105,0.263,-0.607,0.383,0.019,0.013,200.0,529.0,1.02
att_str_raw[Blackburn],-0.053,0.264,-0.559,0.437,0.019,0.014,192.0,477.0,1.02
att_str_raw[Blackpool],-0.105,0.27,-0.636,0.38,0.019,0.013,210.0,559.0,1.02
att_str_raw[Bristol City],0.018,0.258,-0.449,0.504,0.02,0.014,176.0,443.0,1.02
att_str_raw[Burnley],0.339,0.251,-0.133,0.807,0.019,0.013,174.0,433.0,1.02
att_str_raw[Cardiff City],-0.182,0.271,-0.691,0.324,0.017,0.012,250.0,618.0,1.02
att_str_raw[Coventry],0.106,0.255,-0.366,0.576,0.019,0.014,179.0,426.0,1.02
att_str_raw[Huddersfield Town],-0.154,0.267,-0.683,0.32,0.017,0.012,245.0,667.0,1.02
att_str_raw[Hull],-0.054,0.268,-0.522,0.471,0.02,0.014,183.0,441.0,1.02
att_str_raw[Luton Town],0.102,0.258,-0.402,0.567,0.019,0.013,185.0,366.0,1.02
att_str_raw[Middlesbrough],0.404,0.247,-0.08,0.859,0.019,0.014,165.0,319.0,1.02
att_str_raw[Millwall],0.029,0.262,-0.478,0.502,0.019,0.013,190.0,540.0,1.02
att_str_raw[Norwich],0.079,0.26,-0.41,0.561,0.019,0.013,200.0,318.0,1.02
att_str_raw[Preston],-0.139,0.269,-0.644,0.359,0.018,0.013,215.0,711.0,1.02
att_str_raw[QPR],-0.216,0.27,-0.717,0.294,0.018,0.013,223.0,476.0,1.02
att_str_raw[Reading],-0.185,0.271,-0.675,0.324,0.018,0.013,237.0,670.0,1.02
att_str_raw[Rotherham United],-0.131,0.273,-0.671,0.367,0.019,0.013,217.0,686.0,1.02
att_str_raw[Sheff Utd],0.276,0.255,-0.202,0.752,0.02,0.014,174.0,477.0,1.02
att_str_raw[Stoke],0.027,0.263,-0.432,0.564,0.018,0.013,210.0,489.0,1.02
att_str_raw[Sunderland],0.191,0.253,-0.304,0.65,0.019,0.014,170.0,463.0,1.02
att_str_raw[Swansea],0.179,0.256,-0.316,0.641,0.019,0.014,180.0,352.0,1.02
att_str_raw[Watford],0.036,0.262,-0.46,0.527,0.019,0.013,194.0,457.0,1.02
att_str_raw[West Brom],0.127,0.26,-0.368,0.603,0.019,0.013,196.0,533.0,1.02
att_str_raw[Wigan Athletic],-0.292,0.274,-0.82,0.205,0.017,0.013,253.0,701.0,1.02
def_str_raw[Birmingham],0.085,0.245,-0.387,0.534,0.012,0.008,437.0,865.0,1.01
def_str_raw[Blackburn],-0.023,0.247,-0.454,0.47,0.012,0.008,440.0,773.0,1.01
def_str_raw[Blackpool],0.272,0.24,-0.204,0.701,0.012,0.009,397.0,751.0,1.01
def_str_raw[Bristol City],0.016,0.245,-0.462,0.467,0.012,0.009,401.0,818.0,1.01
def_str_raw[Burnley],-0.383,0.277,-0.938,0.104,0.012,0.009,511.0,1005.0,1.01
def_str_raw[Cardiff City],0.041,0.248,-0.475,0.472,0.012,0.008,462.0,827.0,1.01
def_str_raw[Coventry],-0.146,0.25,-0.594,0.337,0.012,0.008,446.0,938.0,1.01
def_str_raw[Huddersfield Town],0.079,0.244,-0.406,0.512,0.012,0.008,420.0,643.0,1.01
def_str_raw[Hull],0.125,0.24,-0.313,0.591,0.012,0.008,409.0,741.0,1.01
def_str_raw[Luton Town],-0.289,0.259,-0.773,0.194,0.012,0.008,483.0,794.0,1.01
def_str_raw[Middlesbrough],-0.014,0.244,-0.463,0.447,0.012,0.008,421.0,751.0,1.01
def_str_raw[Millwall],-0.045,0.252,-0.532,0.41,0.012,0.009,421.0,726.0,1.01
def_str_raw[Norwich],0.007,0.251,-0.458,0.495,0.012,0.008,455.0,781.0,1.01
def_str_raw[Preston],0.082,0.244,-0.381,0.537,0.012,0.009,409.0,616.0,1.01
def_str_raw[QPR],0.262,0.239,-0.204,0.682,0.012,0.009,395.0,692.0,1.01
def_str_raw[Reading],0.172,0.24,-0.281,0.626,0.012,0.008,408.0,709.0,1.01
def_str_raw[Rotherham United],0.145,0.241,-0.332,0.571,0.012,0.008,411.0,724.0,1.01
def_str_raw[Sheff Utd],-0.305,0.267,-0.783,0.219,0.012,0.009,487.0,865.0,1.01
def_str_raw[Stoke],-0.057,0.249,-0.497,0.421,0.012,0.008,452.0,750.0,1.01
def_str_raw[Sunderland],0.004,0.251,-0.476,0.465,0.012,0.009,430.0,727.0,1.01
def_str_raw[Swansea],0.145,0.246,-0.304,0.629,0.012,0.009,419.0,853.0,1.01
def_str_raw[Watford],-0.041,0.253,-0.549,0.401,0.012,0.009,435.0,783.0,1.01
def_str_raw[West Brom],-0.046,0.251,-0.543,0.395,0.012,0.008,450.0,910.0,1.01
def_str_raw[Wigan Athletic],0.092,0.245,-0.393,0.539,0.012,0.008,430.0,755.0,1.01
home_adv,0.132,0.057,0.018,0.233,0.001,0.001,1570.0,1982.0,1.0
baseline,0.106,0.042,0.029,0.186,0.001,0.001,1617.0,2130.0,1.0
att_str[Birmingham],-0.117,0.161,-0.425,0.181,0.002,0.002,5329.0,2844.0,1.0
att_str[Blackburn],-0.065,0.156,-0.376,0.215,0.002,0.003,5060.0,2811.0,1.0
att_str[Blackpool],-0.118,0.166,-0.407,0.206,0.002,0.002,4883.0,2843.0,1.0
att_str[Bristol City],0.005,0.145,-0.278,0.263,0.002,0.003,6553.0,2977.0,1.0
att_str[Burnley],0.327,0.133,0.082,0.575,0.002,0.001,7612.0,2895.0,1.0
att_str[Cardiff City],-0.194,0.175,-0.513,0.158,0.003,0.002,4632.0,2908.0,1.0
att_str[Coventry],0.094,0.14,-0.173,0.352,0.002,0.002,7708.0,3019.0,1.0
att_str[Huddersfield Town],-0.166,0.166,-0.482,0.139,0.002,0.002,4811.0,2677.0,1.0
att_str[Hull],-0.067,0.156,-0.358,0.226,0.002,0.002,5330.0,2887.0,1.0
att_str[Luton Town],0.09,0.144,-0.207,0.337,0.002,0.002,6485.0,2467.0,1.0
att_str[Middlesbrough],0.392,0.128,0.14,0.618,0.002,0.001,6911.0,2748.0,1.0
att_str[Millwall],0.017,0.153,-0.263,0.306,0.002,0.003,5315.0,2715.0,1.0
att_str[Norwich],0.066,0.152,-0.233,0.338,0.002,0.002,6524.0,3117.0,1.0
att_str[Preston],-0.151,0.167,-0.471,0.156,0.002,0.002,6021.0,3105.0,1.0
att_str[QPR],-0.229,0.172,-0.564,0.088,0.002,0.002,5044.0,2723.0,1.0
att_str[Reading],-0.197,0.169,-0.508,0.124,0.002,0.002,5321.0,2670.0,1.0
att_str[Rotherham United],-0.143,0.17,-0.48,0.165,0.002,0.002,5022.0,2945.0,1.0
att_str[Sheff Utd],0.263,0.141,-0.01,0.519,0.002,0.001,7015.0,2945.0,1.0
att_str[Stoke],0.015,0.154,-0.272,0.295,0.002,0.003,6372.0,2887.0,1.0
att_str[Sunderland],0.179,0.141,-0.077,0.448,0.002,0.002,6395.0,2994.0,1.0
