,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Birmingham],-0.194,0.264,-0.699,0.289,0.017,0.012,240.0,380.0,1.04
att_str_raw[Blackburn],0.029,0.262,-0.443,0.547,0.017,0.012,240.0,317.0,1.03
att_str_raw[Bristol City],-0.074,0.263,-0.557,0.422,0.017,0.012,228.0,398.0,1.04
att_str_raw[Cardiff City],-0.141,0.265,-0.627,0.365,0.017,0.012,235.0,403.0,1.04
att_str_raw[Coventry],0.145,0.252,-0.32,0.632,0.017,0.012,216.0,284.0,1.04
att_str_raw[Huddersfield Town],-0.171,0.269,-0.667,0.349,0.017,0.012,245.0,363.0,1.03
att_str_raw[Hull],0.087,0.257,-0.398,0.55,0.017,0.012,223.0,313.0,1.04
att_str_raw[Ipswich],0.387,0.246,-0.083,0.842,0.017,0.013,202.0,291.0,1.04
att_str_raw[Leeds],0.297,0.246,-0.179,0.749,0.018,0.013,196.0,288.0,1.05
att_str_raw[Leicester],0.38,0.249,-0.103,0.826,0.017,0.013,210.0,315.0,1.04
att_str_raw[Middlesbrough],0.135,0.257,-0.345,0.622,0.017,0.012,229.0,357.0,1.04
att_str_raw[Millwall],-0.258,0.271,-0.758,0.26,0.017,0.012,256.0,366.0,1.03
att_str_raw[Norwich],0.217,0.255,-0.274,0.692,0.017,0.012,215.0,309.0,1.04
att_str_raw[Plymouth Argyle],-0.065,0.267,-0.567,0.443,0.017,0.012,240.0,386.0,1.04
att_str_raw[Preston],-0.103,0.262,-0.594,0.399,0.018,0.012,224.0,364.0,1.04
att_str_raw[QPR],-0.192,0.269,-0.701,0.306,0.017,0.012,258.0,406.0,1.03
att_str_raw[Rotherham United],-0.484,0.283,-1.021,0.044,0.018,0.012,264.0,375.0,1.03
att_str_raw[Sheff Wed],-0.187,0.266,-0.644,0.358,0.017,0.012,255.0,394.0,1.03
att_str_raw[Southampton],0.343,0.245,-0.13,0.796,0.017,0.013,201.0,305.0,1.04
att_str_raw[Stoke],-0.112,0.267,-0.65,0.366,0.017,0.012,248.0,422.0,1.03
att_str_raw[Sunderland],-0.109,0.264,-0.591,0.396,0.017,0.012,249.0,406.0,1.04
att_str_raw[Swansea],0.001,0.255,-0.49,0.484,0.017,0.012,230.0,326.0,1.04
att_str_raw[Watford],-0.022,0.254,-0.513,0.441,0.017,0.012,233.0,353.0,1.04
att_str_raw[West Brom],0.129,0.254,-0.322,0.642,0.017,0.012,227.0,314.0,1.04
def_str_raw[Birmingham],0.038,0.242,-0.396,0.501,0.015,0.011,251.0,826.0,1.01
def_str_raw[Blackburn],0.178,0.24,-0.283,0.621,0.015,0.011,259.0,712.0,1.01
def_str_raw[Bristol City],-0.101,0.251,-0.591,0.365,0.015,0.011,281.0,864.0,1.01
def_str_raw[Cardiff City],0.198,0.234,-0.224,0.646,0.015,0.011,244.0,874.0,1.01
def_str_raw[Coventry],0.059,0.243,-0.404,0.512,0.016,0.011,239.0,835.0,1.01
def_str_raw[Huddersfield Town],0.237,0.234,-0.209,0.655,0.016,0.011,215.0,774.0,1.01
def_str_raw[Hull],-0.026,0.246,-0.471,0.442,0.016,0.011,248.0,1007.0,1.01
def_str_raw[Ipswich],-0.038,0.246,-0.493,0.411,0.016,0.011,241.0,845.0,1.01
def_str_raw[Leeds],-0.378,0.26,-0.87,0.098,0.016,0.011,280.0,923.0,1.01
def_str_raw[Leicester],-0.309,0.259,-0.772,0.182,0.016,0.011,276.0,748.0,1.01
def_str_raw[Middlesbrough],0.014,0.246,-0.442,0.473,0.016,0.011,249.0,781.0,1.01
def_str_raw[Millwall],-0.065,0.247,-0.485,0.422,0.016,0.011,255.0,678.0,1.01
def_str_raw[Norwich],0.051,0.24,-0.415,0.486,0.015,0.011,247.0,786.0,1.01
def_str_raw[Plymouth Argyle],0.176,0.239,-0.299,0.593,0.015,0.011,247.0,759.0,1.01
def_str_raw[Preston],0.086,0.238,-0.333,0.555,0.015,0.011,239.0,819.0,1.01
def_str_raw[QPR],-0.116,0.252,-0.565,0.371,0.015,0.01,299.0,1059.0,1.01
def_str_raw[Rotherham United],0.337,0.235,-0.106,0.775,0.015,0.011,237.0,652.0,1.01
def_str_raw[Sheff Wed],0.104,0.238,-0.358,0.528,0.015,0.011,247.0,883.0,1.01
def_str_raw[Southampton],-0.031,0.242,-0.5,0.392,0.016,0.011,228.0,765.0,1.01
def_str_raw[Stoke],0.001,0.244,-0.469,0.432,0.015,0.011,260.0,716.0,1.01
def_str_raw[Sunderland],-0.068,0.249,-0.535,0.382,0.015,0.011,262.0,968.0,1.01
def_str_raw[Swansea],0.095,0.24,-0.339,0.548,0.016,0.011,237.0,921.0,1.01
def_str_raw[Watford],0.031,0.247,-0.427,0.496,0.016,0.011,254.0,918.0,1.01
def_str_raw[West Brom],-0.171,0.25,-0.64,0.287,0.016,0.011,246.0,820.0,1.01
home_adv,0.179,0.056,0.07,0.283,0.001,0.001,1482.0,1842.0,1.0
baseline,0.142,0.041,0.061,0.213,0.001,0.001,1374.0,2186.0,1.0
att_str[Birmingham],-0.195,0.161,-0.497,0.104,0.002,0.002,6257.0,2964.0,1.0
