,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.182,0.256,-0.276,0.688,0.016,0.012,249.0,517.0,1.02
att_str_raw[Aston Villa],0.144,0.259,-0.327,0.638,0.016,0.011,259.0,496.0,1.02
att_str_raw[Bournemouth],0.196,0.258,-0.297,0.658,0.016,0.012,245.0,648.0,1.02
att_str_raw[Brentford],0.175,0.258,-0.309,0.652,0.016,0.012,249.0,610.0,1.02
att_str_raw[Brighton],0.172,0.261,-0.289,0.695,0.017,0.012,242.0,458.0,1.02
att_str_raw[Chelsea],0.186,0.258,-0.296,0.653,0.017,0.012,241.0,583.0,1.02
att_str_raw[Crystal Palace],0.123,0.257,-0.365,0.588,0.016,0.011,255.0,565.0,1.02
att_str_raw[Everton],-0.134,0.265,-0.662,0.346,0.017,0.012,254.0,543.0,1.02
att_str_raw[Fulham],-0.02,0.268,-0.505,0.495,0.016,0.011,280.0,527.0,1.02
att_str_raw[Ipswich],-0.341,0.284,-0.882,0.167,0.016,0.011,307.0,659.0,1.02
att_str_raw[Leicester],-0.476,0.286,-1.042,0.033,0.017,0.012,276.0,645.0,1.01
att_str_raw[Liverpool],0.456,0.247,-0.013,0.91,0.016,0.012,233.0,526.0,1.02
att_str_raw[Man City],0.279,0.251,-0.179,0.758,0.016,0.011,246.0,651.0,1.02
att_str_raw[Man United],-0.071,0.27,-0.572,0.428,0.016,0.011,279.0,765.0,1.02
att_str_raw[Newcastle],0.286,0.255,-0.2,0.75,0.016,0.012,243.0,673.0,1.02
att_str_raw[Nottm Forest],-0.003,0.264,-0.519,0.477,0.017,0.012,252.0,496.0,1.02
att_str_raw[Southampton],-0.571,0.294,-1.148,-0.046,0.016,0.012,324.0,835.0,1.02
att_str_raw[Tottenham],0.131,0.257,-0.389,0.568,0.016,0.012,244.0,518.0,1.02
att_str_raw[West Ham],-0.112,0.267,-0.625,0.365,0.017,0.012,254.0,618.0,1.02
att_str_raw[Wolves],-0.112,0.267,-0.625,0.38,0.017,0.012,254.0,519.0,1.02
def_str_raw[Arsenal],-0.42,0.291,-0.963,0.133,0.015,0.011,358.0,959.0,1.01
def_str_raw[Aston Villa],-0.1,0.272,-0.627,0.398,0.015,0.011,313.0,732.0,1.01
def_str_raw[Bournemouth],-0.043,0.275,-0.546,0.476,0.016,0.011,303.0,744.0,1.01
def_str_raw[Brentford],0.048,0.267,-0.466,0.541,0.016,0.011,295.0,652.0,1.01
def_str_raw[Brighton],0.119,0.263,-0.394,0.606,0.016,0.011,282.0,747.0,1.01
def_str_raw[Chelsea],-0.176,0.278,-0.697,0.341,0.015,0.011,338.0,777.0,1.01
def_str_raw[Crystal Palace],0.044,0.266,-0.458,0.547,0.015,0.011,297.0,762.0,1.01
def_str_raw[Everton],-0.157,0.269,-0.663,0.368,0.016,0.011,294.0,792.0,1.01
def_str_raw[Fulham],-0.047,0.273,-0.57,0.445,0.016,0.011,306.0,785.0,1.01
def_str_raw[Ipswich],0.305,0.259,-0.161,0.81,0.016,0.011,269.0,610.0,1.01
def_str_raw[Leicester],0.303,0.256,-0.193,0.773,0.016,0.011,271.0,643.0,1.01
def_str_raw[Liverpool],-0.252,0.281,-0.779,0.281,0.016,0.011,322.0,539.0,1.01
def_str_raw[Man City],-0.151,0.278,-0.672,0.363,0.016,0.011,318.0,911.0,1.01
def_str_raw[Man United],0.017,0.267,-0.47,0.548,0.015,0.011,298.0,660.0,1.01
def_str_raw[Newcastle],-0.106,0.271,-0.636,0.386,0.015,0.011,308.0,823.0,1.01
def_str_raw[Nottm Forest],-0.075,0.27,-0.609,0.402,0.015,0.011,303.0,728.0,1.01
def_str_raw[Southampton],0.425,0.251,-0.027,0.91,0.016,0.011,259.0,593.0,1.01
def_str_raw[Tottenham],0.286,0.255,-0.199,0.751,0.016,0.011,268.0,565.0,1.01
def_str_raw[West Ham],0.142,0.261,-0.354,0.627,0.016,0.011,282.0,710.0,1.01
def_str_raw[Wolves],0.179,0.259,-0.332,0.641,0.016,0.011,272.0,670.0,1.01
home_adv,0.126,0.065,-0.005,0.242,0.002,0.001,1478.0,2069.0,1.0
baseline,0.251,0.05,0.157,0.346,0.001,0.001,1458.0,2387.0,1.0
att_str[Arsenal],0.158,0.143,-0.102,0.437,0.002,0.002,8012.0,2860.0,1.0
att_str[Aston Villa],0.12,0.148,-0.167,0.396,0.002,0.002,8677.0,3080.0,1.0
att_str[Bournemouth],0.172,0.147,-0.106,0.453,0.002,0.002,8796.0,2489.0,1.0
att_str[Brentford],0.151,0.145,-0.119,0.412,0.002,0.002,7819.0,3123.0,1.0
att_str[Brighton],0.147,0.145,-0.134,0.404,0.002,0.002,8492.0,2596.0,1.0
att_str[Chelsea],0.162,0.144,-0.11,0.42,0.002,0.002,8003.0,2392.0,1.0
att_str[Crystal Palace],0.098,0.148,-0.176,0.378,0.002,0.002,8193.0,2876.0,1.0
att_str[Everton],-0.159,0.156,-0.457,0.124,0.002,0.002,7670.0,2808.0,1.0
att_str[Fulham],-0.045,0.161,-0.328,0.269,0.002,0.003,8911.0,2556.0,1.0
att_str[Ipswich],-0.366,0.188,-0.718,-0.019,0.002,0.002,6077.0,3244.0,1.0
att_str[Leicester],-0.501,0.191,-0.851,-0.139,0.003,0.002,5500.0,3112.0,1.0
att_str[Liverpool],0.432,0.128,0.184,0.666,0.001,0.001,10164.0,2951.0,1.0
att_str[Man City],0.254,0.132,-0.014,0.482,0.001,0.001,8960.0,2758.0,1.0
att_str[Man United],-0.096,0.165,-0.4,0.213,0.002,0.002,7796.0,3021.0,1.0
att_str[Newcastle],0.261,0.141,0.004,0.537,0.001,0.001,11715.0,2778.0,1.0
att_str[Nottm Forest],-0.027,0.155,-0.322,0.257,0.002,0.003,8829.0,3061.0,1.0
att_str[Southampton],-0.595,0.204,-0.997,-0.227,0.003,0.002,5014.0,2928.0,1.0
att_str[Tottenham],0.107,0.143,-0.153,0.385,0.002,0.002,8317.0,3023.0,1.0
att_str[West Ham],-0.137,0.161,-0.439,0.17,0.002,0.002,7483.0,2734.0,1.0
att_str[Wolves],-0.137,0.162,-0.444,0.168,0.002,0.002,6877.0,3134.0,1.0
def_str[Arsenal],-0.437,0.196,-0.824,-0.088,0.003,0.002,6041.0,3274.0,1.0
def_str[Aston Villa],-0.117,0.166,-0.432,0.19,0.002,0.002,7197.0,2817.0,1.0
def_str[Bournemouth],-0.06,0.163,-0.35,0.256,0.002,0.003,7483.0,2758.0,1.0
def_str[Brentford],0.031,0.151,-0.252,0.307,0.002,0.003,8618.0,2900.0,1.0
def_str[Brighton],0.102,0.148,-0.16,0.392,0.002,0.002,8204.0,3095.0,1.0
def_str[Chelsea],-0.193,0.175,-0.529,0.131,0.002,0.002,6847.0,2812.0,1.0
def_str[Crystal Palace],0.027,0.154,-0.269,0.304,0.002,0.003,7777.0,3178.0,1.0
def_str[Everton],-0.174,0.158,-0.47,0.11,0.002,0.002,7062.0,2773.0,1.0
def_str[Fulham],-0.064,0.16,-0.349,0.246,0.002,0.002,7193.0,3094.0,1.0
def_str[Ipswich],0.288,0.138,0.038,0.542,0.002,0.001,8555.0,2985.0,1.0
def_str[Leicester],0.286,0.132,0.029,0.528,0.001,0.001,9018.0,2797.0,1.0
def_str[Liverpool],-0.269,0.176,-0.589,0.069,0.002,0.002,5932.0,2782.0,1.0
def_str[Man City],-0.168,0.171,-0.496,0.137,0.002,0.002,6536.0,2847.0,1.0
def_str[Man United],0.0,0.157,-0.307,0.278,0.002,0.003,7574.0,3160.0,1.0
def_str[Newcastle],-0.123,0.161,-0.417,0.181,0.002,0.002,6657.0,3151.0,1.0
def_str[Nottm Forest],-0.092,0.157,-0.379,0.205,0.002,0.003,6934.0,2780.0,1.0
def_str[Southampton],0.408,0.125,0.173,0.637,0.001,0.001,9782.0,3076.0,1.0
def_str[Tottenham],0.269,0.132,0.033,0.534,0.001,0.001,8625.0,2793.0,1.0
def_str[West Ham],0.125,0.143,-0.137,0.406,0.001,0.002,9478.0,3074.0,1.0
def_str[Wolves],0.162,0.141,-0.107,0.411,0.001,0.001,8894.0,3061.0,1.0
