,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.256,0.191,-0.092,0.622,0.002,0.004,7239.0,2388.0,1.0
att_str_raw[Aston Villa],-0.026,0.203,-0.417,0.354,0.002,0.004,7649.0,2638.0,1.0
att_str_raw[Bournemouth],0.108,0.203,-0.287,0.493,0.002,0.004,8021.0,2917.0,1.0
att_str_raw[Brentford],0.092,0.201,-0.27,0.466,0.002,0.003,8230.0,3143.0,1.0
att_str_raw[Brighton],0.139,0.203,-0.24,0.517,0.002,0.003,8882.0,3081.0,1.0
att_str_raw[Burnley],-0.362,0.244,-0.836,0.082,0.003,0.004,7578.0,3083.0,1.0
att_str_raw[Chelsea],0.274,0.2,-0.065,0.687,0.002,0.003,7286.0,3281.0,1.0
att_str_raw[Crystal Palace],0.201,0.193,-0.155,0.56,0.002,0.003,7774.0,3189.0,1.0
att_str_raw[Everton],-0.097,0.206,-0.46,0.309,0.002,0.004,7175.0,2607.0,1.0
att_str_raw[Fulham],-0.058,0.201,-0.439,0.319,0.002,0.003,7648.0,2924.0,1.0
att_str_raw[Leeds],-0.131,0.23,-0.553,0.298,0.003,0.004,6717.0,2779.0,1.0
att_str_raw[Liverpool],0.332,0.199,-0.057,0.679,0.002,0.004,6650.0,2875.0,1.0
att_str_raw[Man City],0.313,0.194,-0.074,0.654,0.002,0.004,7544.0,2786.0,1.0
att_str_raw[Man United],0.095,0.212,-0.334,0.474,0.003,0.004,7042.0,2808.0,1.0
att_str_raw[Newcastle],0.117,0.198,-0.259,0.496,0.002,0.003,8685.0,3167.0,1.0
att_str_raw[Nottm Forest],-0.098,0.204,-0.46,0.298,0.002,0.004,7376.0,3007.0,1.0
att_str_raw[Sunderland],-0.438,0.232,-0.863,0.022,0.003,0.004,8269.0,2954.0,1.0
att_str_raw[Tottenham],0.052,0.205,-0.329,0.442,0.002,0.004,8468.0,2783.0,1.0
att_str_raw[West Ham],-0.138,0.207,-0.536,0.244,0.002,0.004,7594.0,2910.0,1.0
att_str_raw[Wolves],-0.158,0.219,-0.565,0.247,0.003,0.004,7444.0,2960.0,1.0
def_str_raw[Arsenal],-0.48,0.213,-0.881,-0.088,0.002,0.004,7726.0,2706.0,1.0
def_str_raw[Aston Villa],-0.07,0.21,-0.481,0.3,0.002,0.004,8361.0,2789.0,1.0
def_str_raw[Bournemouth],0.018,0.199,-0.365,0.386,0.002,0.004,9475.0,2884.0,1.01
def_str_raw[Brentford],0.004,0.206,-0.402,0.37,0.002,0.004,7143.0,2946.0,1.0
def_str_raw[Brighton],0.074,0.196,-0.292,0.437,0.002,0.003,7278.0,2921.0,1.0
def_str_raw[Burnley],0.28,0.208,-0.111,0.659,0.002,0.003,7508.0,2951.0,1.0
def_str_raw[Chelsea],-0.165,0.208,-0.542,0.231,0.002,0.004,7532.0,3214.0,1.0
def_str_raw[Crystal Palace],0.033,0.201,-0.339,0.415,0.002,0.003,7520.0,2912.0,1.0
def_str_raw[Everton],-0.076,0.203,-0.436,0.321,0.002,0.004,8312.0,3111.0,1.0
def_str_raw[Fulham],-0.038,0.198,-0.416,0.324,0.002,0.004,8489.0,2436.0,1.0
def_str_raw[Leeds],0.048,0.219,-0.354,0.457,0.003,0.004,7239.0,3024.0,1.0
def_str_raw[Liverpool],-0.193,0.212,-0.6,0.196,0.002,0.004,9532.0,2796.0,1.0
def_str_raw[Man City],-0.212,0.2,-0.571,0.154,0.002,0.003,7526.0,2941.0,1.0
def_str_raw[Man United],0.066,0.206,-0.316,0.456,0.002,0.004,7968.0,3117.0,1.0
def_str_raw[Newcastle],-0.203,0.203,-0.591,0.164,0.002,0.004,7795.0,2799.0,1.0
def_str_raw[Nottm Forest],0.113,0.196,-0.264,0.459,0.002,0.003,8509.0,3135.0,1.0
def_str_raw[Sunderland],0.078,0.228,-0.339,0.509,0.002,0.004,8645.0,2948.0,1.0
def_str_raw[Tottenham],0.066,0.202,-0.313,0.439,0.002,0.003,8429.0,3086.0,1.0
def_str_raw[West Ham],0.196,0.199,-0.187,0.568,0.002,0.004,8042.0,3017.0,1.0
def_str_raw[Wolves],0.186,0.198,-0.18,0.556,0.002,0.003,7218.0,3136.0,1.0
home_adv,0.14,0.073,0.009,0.277,0.001,0.001,6511.0,3147.0,1.0
baseline,0.225,0.043,0.145,0.304,0.001,0.001,7140.0,3499.0,1.0
att_str[Arsenal],0.232,0.182,-0.11,0.577,0.002,0.003,7846.0,2468.0,1.0
att_str[Aston Villa],-0.05,0.196,-0.406,0.32,0.002,0.004,8051.0,2630.0,1.0
att_str[Bournemouth],0.084,0.195,-0.285,0.457,0.002,0.003,8296.0,2896.0,1.0
att_str[Brentford],0.069,0.194,-0.273,0.449,0.002,0.003,8667.0,3108.0,1.0
att_str[Brighton],0.115,0.195,-0.249,0.477,0.002,0.003,9045.0,3050.0,1.0
att_str[Burnley],-0.385,0.231,-0.816,0.042,0.003,0.004,8352.0,2544.0,1.0
att_str[Chelsea],0.25,0.193,-0.105,0.607,0.002,0.003,8792.0,3160.0,1.0
att_str[Crystal Palace],0.177,0.184,-0.178,0.515,0.002,0.003,9271.0,2842.0,1.0
att_str[Everton],-0.12,0.199,-0.486,0.258,0.002,0.004,6997.0,2427.0,1.0
att_str[Fulham],-0.081,0.193,-0.461,0.268,0.002,0.003,8141.0,2993.0,1.0
att_str[Leeds],-0.155,0.22,-0.561,0.251,0.003,0.004,7011.0,2779.0,1.0
att_str[Liverpool],0.308,0.192,-0.053,0.664,0.002,0.003,7617.0,2799.0,1.0
att_str[Man City],0.289,0.185,-0.063,0.633,0.002,0.003,8400.0,3084.0,1.0
att_str[Man United],0.071,0.201,-0.312,0.45,0.002,0.004,6806.0,2672.0,1.0
att_str[Newcastle],0.093,0.189,-0.254,0.458,0.002,0.003,8896.0,3025.0,1.0
att_str[Nottm Forest],-0.121,0.195,-0.489,0.234,0.002,0.003,7282.0,3138.0,1.0
att_str[Sunderland],-0.462,0.222,-0.883,-0.045,0.002,0.004,7968.0,2899.0,1.0
att_str[Tottenham],0.029,0.196,-0.323,0.405,0.002,0.004,9089.0,2868.0,1.0
att_str[West Ham],-0.162,0.201,-0.532,0.226,0.002,0.004,8659.0,3082.0,1.0
att_str[Wolves],-0.181,0.208,-0.545,0.22,0.002,0.004,7465.0,2973.0,1.0
def_str[Arsenal],-0.467,0.206,-0.837,-0.067,0.002,0.004,8006.0,3062.0,1.0
def_str[Aston Villa],-0.056,0.203,-0.45,0.305,0.002,0.004,8201.0,2855.0,1.0
def_str[Bournemouth],0.032,0.191,-0.333,0.39,0.002,0.004,9995.0,2726.0,1.01
def_str[Brentford],0.018,0.196,-0.348,0.371,0.002,0.004,7549.0,2666.0,1.0
def_str[Brighton],0.088,0.19,-0.26,0.448,0.002,0.003,7941.0,3011.0,1.0
def_str[Burnley],0.294,0.197,-0.059,0.677,0.002,0.003,8246.0,2755.0,1.0
def_str[Chelsea],-0.151,0.2,-0.518,0.235,0.002,0.003,7595.0,3180.0,1.01
def_str[Crystal Palace],0.047,0.194,-0.301,0.432,0.002,0.003,8463.0,3031.0,1.0
def_str[Everton],-0.062,0.197,-0.418,0.312,0.002,0.004,8490.0,3239.0,1.0
def_str[Fulham],-0.024,0.189,-0.396,0.322,0.002,0.004,8835.0,2446.0,1.0
def_str[Leeds],0.062,0.209,-0.319,0.46,0.002,0.004,7752.0,2841.0,1.0
def_str[Liverpool],-0.179,0.203,-0.549,0.211,0.002,0.003,10733.0,3334.0,1.0
def_str[Man City],-0.198,0.193,-0.549,0.166,0.002,0.003,7366.0,2876.0,1.0
def_str[Man United],0.08,0.199,-0.277,0.471,0.002,0.004,8183.0,3183.0,1.0
def_str[Newcastle],-0.19,0.194,-0.564,0.169,0.002,0.003,8126.0,2891.0,1.0
def_str[Nottm Forest],0.127,0.189,-0.211,0.488,0.002,0.003,8674.0,2846.0,1.0
def_str[Sunderland],0.092,0.221,-0.308,0.513,0.002,0.004,8865.0,2845.0,1.0
def_str[Tottenham],0.079,0.195,-0.271,0.463,0.002,0.003,8587.0,3203.0,1.0
def_str[West Ham],0.21,0.19,-0.158,0.561,0.002,0.003,8751.0,3111.0,1.0
def_str[Wolves],0.199,0.193,-0.159,0.555,0.002,0.003,7348.0,3304.0,1.0
