,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.273,0.173,-0.048,0.603,0.004,0.003,2089.0,2376.0,1.0
att_str_raw[Aston Villa],0.051,0.18,-0.31,0.362,0.003,0.003,2742.0,2682.0,1.0
att_str_raw[Bournemouth],0.111,0.176,-0.23,0.433,0.003,0.003,2607.0,2376.0,1.0
att_str_raw[Brentford],0.088,0.175,-0.24,0.41,0.003,0.002,2613.0,2863.0,1.0
att_str_raw[Brighton],0.065,0.184,-0.286,0.407,0.003,0.003,3069.0,3099.0,1.0
att_str_raw[Burnley],-0.337,0.22,-0.737,0.072,0.004,0.004,2982.0,2255.0,1.0
att_str_raw[Chelsea],0.256,0.175,-0.077,0.579,0.003,0.003,2494.0,2519.0,1.0
att_str_raw[Crystal Palace],-0.034,0.19,-0.383,0.326,0.003,0.003,3625.0,2739.0,1.0
att_str_raw[Everton],-0.091,0.192,-0.469,0.255,0.003,0.003,2998.0,2721.0,1.0
att_str_raw[Fulham],-0.025,0.179,-0.35,0.324,0.003,0.003,2713.0,2623.0,1.0
att_str_raw[Leeds],-0.005,0.202,-0.395,0.362,0.004,0.003,2709.0,2922.0,1.0
att_str_raw[Liverpool],0.26,0.17,-0.048,0.591,0.003,0.003,2448.0,2398.0,1.0
att_str_raw[Man City],0.308,0.171,-0.021,0.627,0.003,0.003,2444.0,2746.0,1.0
att_str_raw[Man United],0.192,0.171,-0.119,0.53,0.003,0.003,2710.0,2799.0,1.0
att_str_raw[Newcastle],0.091,0.177,-0.247,0.428,0.004,0.003,2232.0,2771.0,1.0
att_str_raw[Nottm Forest],-0.104,0.188,-0.47,0.23,0.003,0.003,2915.0,3217.0,1.0
att_str_raw[Sunderland],-0.345,0.224,-0.769,0.056,0.004,0.003,2768.0,2679.0,1.0
att_str_raw[Tottenham],-0.03,0.184,-0.38,0.303,0.003,0.003,3219.0,2828.0,1.0
att_str_raw[West Ham],-0.115,0.186,-0.457,0.225,0.004,0.003,2622.0,2841.0,1.0
att_str_raw[Wolves],-0.328,0.201,-0.691,0.066,0.004,0.003,3234.0,2750.0,1.0
def_str_raw[Arsenal],-0.493,0.214,-0.883,-0.094,0.004,0.003,3431.0,3031.0,1.0
def_str_raw[Aston Villa],0.005,0.184,-0.325,0.358,0.003,0.003,2836.0,2687.0,1.0
def_str_raw[Bournemouth],0.101,0.179,-0.236,0.435,0.003,0.003,2633.0,2970.0,1.0
def_str_raw[Brentford],-0.061,0.188,-0.412,0.288,0.004,0.003,2793.0,3098.0,1.0
def_str_raw[Brighton],-0.092,0.185,-0.454,0.244,0.004,0.003,2555.0,2668.0,1.0
def_str_raw[Burnley],0.318,0.176,0.005,0.653,0.003,0.003,2664.0,2825.0,1.0
def_str_raw[Chelsea],-0.011,0.183,-0.363,0.32,0.004,0.003,2683.0,2857.0,1.0
def_str_raw[Crystal Palace],-0.042,0.189,-0.366,0.335,0.004,0.003,2809.0,2572.0,1.0
def_str_raw[Everton],-0.0,0.183,-0.358,0.325,0.003,0.003,3069.0,2916.0,1.0
def_str_raw[Fulham],0.034,0.182,-0.319,0.37,0.004,0.003,2660.0,2907.0,1.0
def_str_raw[Leeds],0.008,0.197,-0.369,0.366,0.004,0.003,2699.0,2712.0,1.0
def_str_raw[Liverpool],-0.105,0.188,-0.468,0.226,0.004,0.003,2833.0,2473.0,1.0
def_str_raw[Man City],-0.175,0.198,-0.548,0.19,0.004,0.003,3163.0,2727.0,1.0
