,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.275,0.172,-0.05,0.599,0.003,0.003,3935.0,3194.0,1.0
att_str_raw[Aston Villa],0.05,0.182,-0.285,0.393,0.003,0.003,4220.0,3300.0,1.0
att_str_raw[Bournemouth],0.107,0.174,-0.225,0.427,0.003,0.003,4091.0,2918.0,1.0
att_str_raw[Brentford],0.087,0.183,-0.255,0.428,0.003,0.003,4288.0,3196.0,1.0
att_str_raw[Brighton],0.065,0.181,-0.283,0.389,0.003,0.003,4360.0,3220.0,1.0
att_str_raw[Burnley],-0.341,0.221,-0.763,0.072,0.003,0.004,4738.0,2860.0,1.0
att_str_raw[Chelsea],0.255,0.172,-0.049,0.592,0.003,0.002,3570.0,3168.0,1.0
att_str_raw[Crystal Palace],-0.038,0.195,-0.41,0.32,0.003,0.003,4527.0,2658.0,1.0
att_str_raw[Everton],-0.095,0.192,-0.468,0.261,0.003,0.003,4633.0,2764.0,1.0
att_str_raw[Fulham],-0.026,0.184,-0.381,0.309,0.003,0.003,4347.0,3153.0,1.0
att_str_raw[Leeds],-0.008,0.199,-0.373,0.373,0.003,0.003,4583.0,2999.0,1.0
att_str_raw[Liverpool],0.256,0.174,-0.084,0.57,0.003,0.003,3913.0,3045.0,1.0
att_str_raw[Man City],0.305,0.17,-0.022,0.622,0.003,0.002,3267.0,3036.0,1.0
att_str_raw[Man United],0.191,0.177,-0.142,0.524,0.003,0.003,4011.0,2875.0,1.0
att_str_raw[Newcastle],0.088,0.18,-0.265,0.402,0.003,0.003,3939.0,2887.0,1.0
att_str_raw[Nottm Forest],-0.104,0.194,-0.49,0.238,0.003,0.003,4415.0,2947.0,1.0
att_str_raw[Sunderland],-0.34,0.227,-0.755,0.091,0.003,0.004,5043.0,3165.0,1.0
att_str_raw[Tottenham],-0.029,0.184,-0.378,0.314,0.003,0.003,4282.0,3105.0,1.0
att_str_raw[West Ham],-0.126,0.194,-0.47,0.259,0.003,0.003,4616.0,2688.0,1.0
att_str_raw[Wolves],-0.328,0.203,-0.726,0.036,0.003,0.004,5297.0,2925.0,1.0
def_str_raw[Arsenal],-0.492,0.215,-0.885,-0.09,0.003,0.004,6239.0,3010.0,1.0
def_str_raw[Aston Villa],0.01,0.183,-0.341,0.351,0.003,0.003,4663.0,2881.0,1.0
def_str_raw[Bournemouth],0.103,0.177,-0.21,0.444,0.003,0.003,4035.0,2503.0,1.0
def_str_raw[Brentford],-0.054,0.186,-0.417,0.281,0.003,0.003,4889.0,3160.0,1.0
def_str_raw[Brighton],-0.087,0.182,-0.447,0.232,0.003,0.003,4288.0,2820.0,1.0
def_str_raw[Burnley],0.324,0.17,0.004,0.643,0.003,0.003,3615.0,2954.0,1.0
def_str_raw[Chelsea],-0.005,0.185,-0.347,0.351,0.003,0.003,4190.0,2669.0,1.0
